"KPwDN","nps","nkpm","ntotal","prop"
"KPwDN Aceh",228562,148049,376611,1.6486732617216
"KPwDN Bali",89053,54123,143176,0.626775221436049
"KPwDN Balikpapan",24534,14608,39142,0.17135019638382
"KPwDN Banten",339476,168058,507534,2.22180906881268
"KPwDN Bengkulu",117823,79484,197307,0.863742097948556
"KPwDN Cirebon",639321,261273,900594,3.94249038787211
"KPwDN DI Yogyakarta",215157,121701,336858,1.47464831775231
"KPwDN DKI Jakarta",168233,101549,269782,1.18101268920392
"KPwDN Gorontalo",103931,62763,166694,0.729728926370765
"KPwDN Jambi",139626,82509,222135,0.972430531749013
"KPwDN Jawa Barat",2098319,921734,3020053,13.2207519963095
"KPwDN Jawa Tengah",1096118,534216,1630334,7.13704080198301
"KPwDN Jawa Timur",946453,509870,1456323,6.37528056942093
"KPwDN Jember",430939,189291,620230,2.71515334686875
"KPwDN Kalimantan Barat",270787,144697,415484,1.81884586874291
"KPwDN Kalimantan Selatan",130328,73891,204219,0.894000453612676
"KPwDN Kalimantan Tengah",71455,42268,113723,0.497840130380593
"KPwDN Kalimantan Timur",55416,35038,90454,0.395976461695929
"KPwDN Kalimantan Utara",20927,14690,35617,0.155918960313794
"KPwDN Kediri",784093,390575,1174668,5.14229197500866
"KPwDN Kepulauan Bangka Belitung",37667,20810,58477,0.255992167848772
"KPwDN Kepulauan Riau",54453,39532,93985,0.411433963699692
"KPwDN Lampung",629712,378765,1008477,4.41476500941612
"KPwDN Lhokseumawe",254421,151365,405786,1.77639136451394
"KPwDN Malang",433960,232297,666257,2.91664370221488
"KPwDN Maluku",73881,61605,135486,0.593111049697467
"KPwDN Maluku Utara",44253,29329,73582,0.322116656029693
"KPwDN NTB",437663,261290,698953,3.05977553045476
"KPwDN NTT",310080,243900,553980,2.42513366186471
"KPwDN Papua",18568,16277,34845,0.152539410173068
"KPwDN Papua Barat",8001,9031,17032,0.0745602305658685
"KPwDN Pematang Siantar",118972,67201,186173,0.815001280245387
"KPwDN Purwokerto",574822,261969,836791,3.66318282617682
"KPwDN Riau",241423,162259,403682,1.76718077708378
"KPwDN Sibolga",193979,137416,331395,1.45073318508548
"KPwDN Solo",436671,237520,674191,2.9513760219254
"KPwDN Sulawesi Barat",94825,63812,158637,0.694458155018652
"KPwDN Sulawesi Selatan",540345,311338,851683,3.72837487371011
"KPwDN Sulawesi Tengah",159656,105623,265279,1.16130010593489
"KPwDN Sulawesi Tenggara",154350,107897,262247,1.14802705408685
"KPwDN Sulawesi Utara",121965,77170,199135,0.871744452426856
"KPwDN Sumatera Barat",277696,176134,453830,1.98671145125106
"KPwDN Sumatera Selatan",311531,192625,504156,2.20702134811919
"KPwDN Sumatera Utara",271180,153363,424543,1.85850305102897
"KPwDN Tasikmalaya",538659,227370,766029,3.35341115900315
"KPwDN Tegal",569618,288090,857708,3.75475024883689
