"KPwDN","Kategori","KPM PKH","KPM PS","Agen","Total"
"KPwDN Papua Barat","Kecil",9,18,18,45
"KPwDN Papua","Kecil",9,18,18,45
"KPwDN Kalimantan Utara","Kecil",9,18,18,45
"KPwDN Balikpapan","Kecil",9,18,18,45
"KPwDN Kepulauan Bangka Belitung","Kecil",9,18,18,45
"KPwDN Maluku Utara","Kecil",9,18,18,45
"KPwDN Kalimantan Timur","Kecil",9,18,18,45
"KPwDN Kepulauan Riau","Kecil",9,18,18,45
"KPwDN Kalimantan Tengah","Kecil",9,18,18,45
"KPwDN Maluku","Kecil",9,18,18,45
"KPwDN Bali","Kecil",9,18,18,45
"KPwDN Sulawesi Barat","Kecil",9,18,18,45
"KPwDN Gorontalo","Kecil",9,18,18,45
"KPwDN Pematang Siantar","Kecil",9,18,18,45
"KPwDN Bengkulu","Kecil",9,18,18,45
"KPwDN Sulawesi Utara","Sedang",13,26,26,65
"KPwDN Kalimantan Selatan","Sedang",13,26,26,65
"KPwDN Jambi","Sedang",13,26,26,65
"KPwDN Sulawesi Tenggara","Sedang",13,26,26,65
"KPwDN Sulawesi Tengah","Sedang",13,26,26,65
"KPwDN DKI Jakarta","Sedang",13,26,26,65
"KPwDN Sibolga","Sedang",13,26,26,65
"KPwDN DI Yogyakarta","Sedang",13,26,26,65
"KPwDN Aceh","Sedang",13,26,26,65
"KPwDN Riau","Sedang",13,26,26,65
"KPwDN Lhokseumawe","Sedang",13,26,26,65
"KPwDN Kalimantan Barat","Sedang",13,26,26,65
"KPwDN Sumatera Utara","Sedang",13,26,26,65
"KPwDN Sumatera Barat","Sedang",13,26,26,65
"KPwDN Sumatera Selatan","Sedang",13,26,26,65
"KPwDN Banten","Sedang",13,26,26,65
"KPwDN NTT","Besar",17,34,34,85
"KPwDN Jember","Besar",17,34,34,85
"KPwDN Malang","Besar",17,34,34,85
"KPwDN Solo","Besar",17,34,34,85
"KPwDN NTB","Besar",17,34,34,85
"KPwDN Tasikmalaya","Besar",17,34,34,85
"KPwDN Purwokerto","Besar",17,34,34,85
"KPwDN Sulawesi Selatan","Besar",17,34,34,85
"KPwDN Tegal","Besar",17,34,34,85
"KPwDN Cirebon","Besar",17,34,34,85
"KPwDN Lampung","Besar",17,34,34,85
"KPwDN Kediri","Besar",17,34,34,85
"KPwDN Jawa Timur","Besar",17,34,34,85
"KPwDN Jawa Tengah","Besar",17,34,34,85
"KPwDN Jawa Barat","Besar",17,34,34,85
